,小区名称,区域位置,经度,纬度,总价,单价,看房时间,链家编号,关注度,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验统一编码,查询房管备案记录,核心卖点,适宜人群,别墅类型,户型介绍,小区介绍,售房详情,税费解析,周边配套,用水类型,用电类型,装修描述,燃气价格,交通出行,权属抵押
10,['大家悦墅'],富阳-富春,119.932409,30.065315,245,26559,提前预约随时可看,1.03116E+11,12,3室2厅1厨2卫,中楼层 (共26层),92.25㎡,跃层,暂无数据,板塔结合,南,钢混结构,毛坯,一梯四户,暂无数据,2021/6/29,商品房,2019/5/9,普通住宅,满两年,非共有,"
                                有抵押 140万元 中国银行股份有限公司富阳支行 业主自还
                              ",已上传房本照片,1.90411E+11,"
                    中间楼层采光好， 户型方正，小区环境好，交通便利
                  ","
                    小区环境优美，绿化比较高，人车分流，适合老人和小孩的家庭，平时在小区内就可以活动
                  ","
                    
距宝龙广 场步行仅80米左右 距青少年宫400米左右 距富阳市人民医院步行仅1000米左右 距阳陂湖湿地公园2000米左右
                  ",,,,,,"
                    小区位于金桥板块核 心位置，出门就是主干道文居街，通往东方茂、宝龙城市广场和银泰 距离高速富阳互通入口约5公里左右（通往富阳高速互通大盘山隧道在建） 距离6号线地铁站（公望街）1.3公里左右 距离在建杭温高铁富阳西站约8公里左右
                  ",,,,,,
11,['九龙仓世纪华府'],富阳-银湖科技城,119.946915,30.08280443,305,21484,提前预约随时可看,1.03117E+11,0,4室2厅1厨2卫,低楼层 (共29层),141.97㎡,平层,暂无数据,塔楼,东南,钢混结构,毛坯,两梯四户,有,2021/9/3,商品房,2016/4/7,普通住宅,满五年,非共有,"
                                有抵押 80万元
                              ",已上传房本照片,210325ZZ297480,,,,,,,,,,,,,,,
12,['九龙仓雍景山'],富阳-银湖科技城,119.982073,30.168408,182,20356,有租户需预约,1.03113E+11,19,3室2厅1厨2卫,低楼层 (共23层),89.41㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯四户,有,2021/1/20,商品房,2018/8/8,普通住宅,满两年,非共有,"
                                有抵押 160万元 业主自还
                              ",已上传房本照片,210105AT807443,"
                    视野开阔，采光通风佳，近野生动物园，交通便利
                  ","
                    仓雍景山位于富阳市东北的银湖街道施加园近野生动物园。小区总占地面积30万平方米。九龙仓.雍景山以山水环境而闻名于世的意大利科莫湖畔的贝拉吉奥度假小镇作为设计蓝本，引入其美仑美奂的建筑风情及景观空间力争创造一个吸引公众参与的开放式的度假小镇
                  ","
                    小区。门口有公交车站，途经车次有596路，老余杭至富阳专线、杭州汽车北站-富阳客运南站、641内环等
                  ",,,"
                    小区位于野生动物园旁，闲富路上，靠城西小和山，万丈山隧道出来就是。城西工作的人过来比较近
                  ",,,,,,,,,
13,['五月香山'],富阳-银湖科技城,120.016526,30.156412,260,17948,提前预约随时可看,1.03113E+11,16,3室2厅1厨2卫,中楼层 (共11层),144.87㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,2020/12/29,商品房,2010/10/25,普通住宅,满五年,共有,"
                                有抵押 180万元
                              ",已上传房本照片,1.80327E+11,"
                    格局方正，楼层高，南向无遮挡，视野好采光佳.
                  ","
                    房子之前是业主自住的，本来舍不得卖空置在那就觉得可惜了，加之自己也有腾房票的需求才挂出来卖，很诚心卖的，希望卖掉置换一套。
                  ",,,,,"
                    税费金额，满两年（免增值税）只有契税、个人所得税。契税首套1.5% 二套2% 个人所得税1%
                  ","
                    小区位于杭州地铁6号线，彩虹快速路匝道入口处，交通便利。距离转塘，音乐学院都是很方便的。小区以排屋为主，北背山，空气好，环境优。这套平层位于小区靠后位置安静，视野好前后无高楼遮挡，群山峻岭一览无遗。
                  ",,,,,,,
14,['逸城'],富阳-东洲,120.0445989,30.08462614,165,16244,提前预约随时可看,1.03117E+11,14,3室2厅1厨1卫,高楼层 (共17层),101.58㎡,跃层,暂无数据,板楼,南,钢混结构,毛坯,两梯五户,有,2021/10/2,商品房,2019/9/14,普通住宅,满两年,共有,"
                                有抵押 57万元 中国建设银行富阳支行 业主自还
                              ",已上传房本照片,211002QJ622574,"
                    此房是18年交付的，高楼层，视野开阔，房东诚心出售
                  ","
                    房子是复式的格局，高楼层视野开阔，可看江景，格局是3房2厅，实际用的面积大
                  ",,,"
                    此房交付还没满5年首套个税1个点契税1.5营业税5.3
                            二套个税1给单契税2营业税5.3
                  ",,,,,,,,,,
15,['云河福邸'],富阳-银湖科技城,120.016588,30.15219416,258,18514,提前预约随时可看,1.03115E+11,23,3室2厅1厨2卫,高楼层 (共7层),139.36㎡,跃层,139.36㎡,板楼,南,框架结构,精装,一梯两户,无,2021/6/6,商品房,2016/11/16,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,1.90923E+11,"
                    此房跃层带大露台，精装带露台，拎包入住。
                  ","
                    富阳 - 富春 富阳区杭富公路中村驾校西侧物业公司：杭州绿园物业管理有限公司开 发 商：浙江广通房地产集团有限公司建筑年代：2003年 建筑面积：50000 平方米停车位：200
                  ",,,,"
                    项目周 边有约60万方富春硅谷综合体，大型农贸市场。富阳人民医院，富春硅谷、肯德基，野生动物园 富春山居高档别墅区
                  ",,,"
                    小区门口900米就是地铁6号线野生动物园站出口，小区门口还有一条彩虹快速路，项目周 边拥有立体的道路交通网，G320，九龙大道，闲祝线，之江路，紫之隧道，地铁6号线与杭富轻轨在象山美院站无缝对接 门口有多站点公交车 装修描述:
                  ",,,,,,
16,['融创微风之城'],富阳-东洲,120.049163,30.086632,210,16754,提前预约随时可看,1.03118E+11,0,4室2厅1厨1卫,低楼层 (共17层),125.35㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,2021/10/24,商品房,2020/6/8,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,200818FD182042,"
                    次新小区。四房两厅，满足置换需求。小区临富村江环境优美
                  ","
                    小区位于东洲版块，距离之江7公里左右，自然环境优越，杭富沿江公路双向六车道 小区有低密度的排屋叠排高层组成，绿化30%以上
                  ",,,"
                    目前房子在短期出租，看房联系下房东看房也方便的。全款买进的。看好随时可签的。诚心出售
                  ","
                    两房朝南，双阳台。客厅东边带大飘窗，三面采光，前排无遮挡阳光充足。
                  ",,,,,,,,,
17,['野风秋雅'],富阳-银湖科技城,119.9678038,30.13966607,180,20328,提前预约随时可看,1.03117E+11,6,3室2厅1厨2卫,高楼层 (共24层),88.55㎡,平层,66.8㎡,板楼,西南 北,钢混结构,毛坯,两梯四户,有,2021/8/14,商品房,2018/10/31,普通住宅,满两年,非共有,"
                                有抵押 35万元 业主自还
                              ",已上传房本照片,201205TH789785,"
                    本房三房双卫全明格局，南北通透，采光佳
                  ","
                    野风秋雅于2018年6月底交付，由8幢总高24层的楼栋组成。小区主打刚需89方户型，89方共有4个户型，各有优缺点，本房是比较少有的边套户型，中高楼层，有兴趣可点击在线咨询
                  ",,,,"
                    本小区是70年产权的商品房，属于次新房不满五。现有个税1%，契税1%，增值税5.3%
                  ",,"
                    房子目前是开发商交付的毛坯房，室内无动用，改造空间大，装修风格随心所 欲
                  ",,,,,,,
18,['九龙山庄'],富阳-银湖科技城,119.9669781,30.14748032,239,16342,提前预约随时可看,1.03114E+11,49,4室2厅1厨2卫,高楼层 (共5层),146.25㎡,复式,暂无数据,板楼,南,钢混结构,精装,一梯一户,无,2021/3/3,商品房,2017/5/31,普通住宅,满两年,共有,"
                                有抵押 117万元
                              ",已上传房本照片,210123WM589396,"
                    银湖板块 绿城物业  5跃6 精装修 房东诚售
                  ","
                    
九龙山庄于2007年交付，小区主要以别墅为主，间以挺拔的多层公寓，多种建筑形式满足不同住户的需求。九龙山庄的建筑设计有机结合了自然条件，人为因素，以及奢华的生活品质，并充分体现于整个项目中
                  ","
                    
小区旁野风山城综合体已建成，已运营。公共交通便利，小区门口公交站台往富阳城区、杭州以及余杭方向都有通车。距离地铁6号线延伸段虎哨杏站1.5公里左右，距离杭州野生动物世界2公里，以上数据均由高德地图所测。
                  ",,,"
                    小区环境好，大人小孩适合居住，小区一年四季，风景如画。绿城物业，服务周到。
                  ",,,,,,,,,
19,['云水山居'],富阳-银湖科技城,119.9090246,30.12099724,185,13462,提前预约随时可看,1.03118E+11,2,3室2厅1厨2卫,中楼层 (共12层),137.43㎡,平层,暂无数据,板楼,南,框架结构,毛坯,两梯四户,有,2021/10/29,商品房,2021/1/17,普通住宅,未满两年,共有,"
                                有抵押
                              ",已上传房本照片,210806VW521118,"
                    云水四期的西边套，双卫都带窗，三房朝南，可看山景，降25万
                  ","
                    云水山居高层跟别墅排屋都在一起，小高层可享受跟别墅区一样的小区景观。小区环境建设很不错，绿化覆盖率高，而且自带泳池和联华，农贸市场。小区中间有一个天鹅湖，另外还有2条景观河，可谓依山旁水，风景秀丽。
                  ","
                    小区门口有公交车站，出行方便；距客运中 心地铁口3公里（距离为百度测距）
                  ",,,"
                    云水山居小区环境好，绿化高，空气宜人。2个卧室都朝南，房间比较大的，此房四个房间，采光好，尤其适合刚需家庭。适合刚来杭州不久的年轻人，对于滨江转塘工作的人，可以在这里安个家。一百多万，在滨江只能买30-40方，就可以买大四房。


                  ",,,,,,,,,
20,['融创微风之城'],富阳-东洲,120.049163,30.086632,165,18031,提前预约随时可看,1.03118E+11,10,3室2厅1厨2卫,中楼层 (共18层),91.51㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯四户,有,2021/10/8,商品房,2020/1/14,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,211013TP430985,"
                    小区品质好，房子户型好，三期是人车分流，房子视线很好


                  ","
                    融创品质，房子户型方正，小区整体是人车分流，房子视线很好！楼幢位置棒
                  ",,,,"
                    房子于2019年交付，所以不满2年，税费有契税和个税，增值税，总价低的
                  ",,"
                    房子毛坯交付，户型好，毛坯减少拆除费用，可按心意装修。。。 。
                  ",,,,,,,
21,['融创微风之城'],富阳-东洲,120.049163,30.086632,200,15915,提前预约随时可看,1.03109E+11,24,4室2厅1厨2卫,低楼层 (共16层),125.67㎡,平层,102.71㎡,板楼,南,钢混结构,毛坯,两梯四户,有,2020/5/29,商品房,2020/5/18,普通住宅,未满两年,共有,"
                                无抵押
                              ",已上传房本照片,2.00521E+11,"
                    次新小区。四房两厅两卫，满足置换需求。小区临富村江环境优美
                  ","
                    小区位于东洲版块，距离之江7公里左右，自然环境优越，杭富沿江公路双向六车道 小区有低密度的排屋叠排高层组成，绿化30%以上
                  ",,,"
                    目前房子在短期出租，看房联系下房东看房也方便的。全款买进的。看好随时可签的。诚心出售
                  ","
                    两房朝南，双阳台。客厅东边带大飘窗，三面采光，前排无遮挡阳光充足。
                  ",,,,,,,,,
22,['紫云山庄'],富阳-银湖科技城,120.004132,30.14911,100,22493,提前预约随时可看,1.03117E+11,9,1室1厅1厨1卫,低楼层 (共3层),44.46㎡,平层,暂无数据,暂无数据,南 北,砖混结构,精装,一梯两户,无,2021/8/8,商品房,2005/5/24,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210719DC687198,"
                    此房满五，免增值税，此房离大门较近，楼层好 出入方便


                  ","
                    小区是98年的，小区前面是320国道，是转塘通往富阳的必经之路。


                  ","
                    小区位于320国道，出行便利。富阳主城区-杭州滨江主城区。地铁口6号线，野生动物园东站。


                  ",,,"
                    总价不高，有一室一卫一厨（带加层）地铁口，生活便利，交通便利。适合首付预算少的人。


                  ",,,,,,,,,
23,['紫云山庄'],富阳-银湖科技城,120.004132,30.14911,128,20247,提前预约随时可看,1.03117E+11,18,2室1厅1厨1卫,低楼层 (共3层),63.22㎡,平层,暂无数据,板楼,东南,钢混结构,精装,一梯两户,无,2021/9/29,商品房,2003/4/2,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,1.90501E+11,"
                    转塘滨江上班的人群青睐~地铁通勤时间短~
                  ","
                    转塘滨江上班的人群青睐~地铁通勤时间短~老人养老环境优质同样适合~
                  ","
                    距离硅谷小 学开车2公里 距离银湖初中开车11公里，距离银湖公园开车1公里，距离银湖花苑农贸市场步行1公里（数据来自高德导航）
                  ",,,,,,"
                    沿着320国道边，开车穿隧道到滨江，到城西，钱江世纪城都方便。6号线地铁从富阳通火车东站，途径滨江、
                  ",,,,,,
24,['清风阳光苑'],富阳-富春,119.9459564,30.06835569,205,19289,提前预约随时可看,1.03114E+11,3,3室2厅1厨1卫,高楼层 (共12层),106.28㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯三户,有,2021/3/5,商品房,2009/2/24,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,2.00514E+11,"
                    此房已经满五，坐北朝南，采光充足，交通便利，配套设施齐全
                  ","
                    小区边上配套齐全，有菜市场、公园、带电梯。不临街、距离医院近
                  ",,,,"
                    房东是想卖掉改善，房东诚心出售，随时可以看房，业主随时可签。
                  ","
                    配套齐全。有银泰商场。富阳区第 一人民医院，大润发商*等等。
                  ",,,,,,,,
25,['绿城·七里香溪别墅园'],富阳-银湖科技城,120.000052,30.156034,828,35643,提前预约随时可看,1.03117E+11,51,4室2厅1厨3卫,低楼层 (共3层),232.31㎡,,暂无数据,,南,钢混结构,精装,,,2021/8/8,商品房,2005/8/17,别墅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210814DH554918,"
                    此房满5年唯一，南北格局 视野开阔 采光充足 精装修
                  ","
                    房屋产权为70年住宅 首套房契税1.5%  个税1%免 增值税5.3%免   二套房契税2%，个税1%免 增值税5.3%免
                  ",,联排,,,,"
                    九龙大道口兴建一个休闲度假区，其中有城市广场、公园、街市、度假酒店等城市设施。不久后的银湖将是杭州南郊一个拥有几万人口的高尚居住、旅游、休闲、度假为一体的新时代卫星镇
                  ","
                    位于九龙大道和320国道交接处，地铁800米。门口就有公交车站，杭州富阳均有车可以到达。
                  ",,,,,,
26,['云水山居'],富阳-银湖科技城,119.9090246,30.12099724,182,13525,提前预约随时可看,1.03117E+11,4,4室1厅1厨2卫,中楼层 (共9层),134.57㎡,平层,暂无数据,板楼,南 东南 东,钢混结构,毛坯,两梯两户,有,2021/9/26,商品房,2016/8/1,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,201211MT434494,"
                    野生动物园毛坯房，拓展25p，刚满五年，三房朝南，三阳台采光好
                  ","
                    云水山居高层跟别墅排屋都在一起，小高层可享受跟别墅区一样的小区景观。小区环境建设很不错，绿化覆盖率高，而且自带泳池和联华，农贸市场。小区中间有一个天鹅湖，另外还有2条景观河，可谓依山旁水，风景秀丽。
                  ","
                    三房朝南，户型方正，采光很好，2个卫生间，3个阳台，户型通透方正。
                  ",,,"
                    适合刚来杭州不久的年轻人，对于滨江转塘工作的人，可以在这里安个家。一百多万，在滨江只能买30-40方，就可以买大四房。
                  ",,,,,,,,,
27,['逸城'],富阳-东洲,120.0445989,30.08462614,330,16687,提前预约随时可看,1.03109E+11,64,5室2厅1厨2卫,高楼层 (共11层),197.76㎡,跃层,暂无数据,板楼,南,钢混结构,精装,一梯两户,暂无数据,2020/5/25,商品房,2009/7/6,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,210509YI144078,"
                    一线江景房，紧富春江，多房朝南，精装类似上叠产品
                  ","
                    逸城由中国城市运营商50强之一的华立地产集团和永通房产合力打造。位于杭富江滨大道(沿江公路)南侧，直临富春江内江，距杭州西湖景区20公里，距富阳市区8公里。项目规划总面积577亩，其中建设用地355亩，总建筑面积约30万方
                  ",,,"
                    税费金额，满五年（免增值税）只有契税、个人所得税。契税首套1.5% 二套2% 个人所得税1%
                  ","
                    此房2017年装修的，房东花30多万装修，11楼跃12楼  大露台 
                  ",,,,,,,,,
28,['三江鸣翠蓝湾'],富阳-银湖科技城,119.978928,30.147827,450,25586,提前预约随时可看,1.03117E+11,80,4室2厅1厨3卫,低楼层 (共4层),175.88㎡,,暂无数据,,南 北,钢混结构,精装,,,2021/8/23,商品房,2016/10/17,别墅,满五年,共有,"
                                有抵押 50万元
                              ",已上传房本照片,210227RJ878054,"
                    小区环境优美，天然养生之所，自然环境媲美排屋别墅小区
                  ","
                    生态环境保持良好，地理环境得天独厚：北依午潮山脉，南临富春山麓；青山叠翠，溪流遍布；景区众多，杭州高尔夫球场和富阳国际高尔夫球场相依两畔，午潮山国家森林公园、黄公望森林公园、灵山风景区、杭州野生动物世界等众多景区近在咫尺
                  ",,叠拼,,"
                    南面是银湖公园，北面是野生动物园，西面是山体公园。杭富医院：银湖骨伤科医院，银湖邮政所银行：富阳农村合作银行
                  ",,,"
                    税费金额，满五年（免增值税）只有契税、个人所得税。契税首套1.5%  二套2%   个人所得税1%
                  ",,,,,,
29,['伊甸山庄'],富阳-银湖科技城,120.015268,30.152734,185,15880,提前预约随时可看,1.03105E+11,202,3室2厅1厨2卫,中楼层 (共5层),116.5㎡,平层,暂无数据,板楼,南 北,砖混结构,精装,一梯两户,无,2019/5/30,商品房,2017/4/28,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,1.90509E+11,"
                    精装三房，拎包入住少烦恼，交通便利，距离地铁口692米
                  ","
                    房屋是1995年建造，公摊面积少。两房朝南一房朝北。总楼层5楼。地面一层是车库，南面是2层别墅视野好。
                  ",,,"
                    房屋产权：该房屋是独栋别墅产权70年住宅。税费情况：目前不满五年，有增值税5.3%。契税首套1.5%，二套2%。个税1%。
                  ",,,"
                    距离地铁6号线野生动物园东站D口692米，到转塘只要7公里，到滨江只要18公里，西湖边26公里（根据高德地图查询）足以。
                  ",,,,,,,
